repetition,host,arch,system,name,nthreads,nb_ops,latency
4,eliza,mte,CLHT,insert,192,50000000,77477.23
0,eliza,mte,linklist,read,1,25000,2713457.98
3,eliza,aarch64,linklist,insert,1,1000000,2765.7
3,eliza,mte,skiplist,read,1,3000000,3633.48
0,eliza,aarch64,CLHT,read,192,60000000,71869.5
4,eliza,mte,linklist,read,1,25000,2701073.74
0,eliza,aarch64,linklist,YCSB-E,1,25000,1673569.5937656
3,eliza,mte,ART,read,1,3000000,1609.59
2,eliza,mte,queue,queue_bench,16,50000000,868.588
2,eliza,aarch64,btree,read,1,10000000,938.62
3,eliza,aarch64,CLHT,insert,16,50000000,3485.38
1,eliza,mte,linklist,YCSB-E,1,25000,2448710.0891376003
1,eliza,mte,CLHT,insert,192,50000000,78475.64
0,eliza,mte,btree,YCSB-D,1,10000000,730.853762
0,eliza,aarch64,linklist,YCSB-B,1,25000,1701018.2729296
4,eliza,mte,btree,YCSB-D,1,10000000,727.78480458
2,eliza,mte,CLHT,read,192,60000000,79636.8
2,eliza,mte,skiplist,YCSB-D,1,3000000,2996.6501369166667
2,eliza,aarch64,skiplist,YCSB-C,1,3000000,3104.57
2,eliza,aarch64,CLHT,read,16,50000000,348.9
2,eliza,mte,skiplist,YCSB-C,1,3000000,3098.15
0,eliza,mte,btree,YCSB-B,1,10000000,807.555481947
0,eliza,aarch64,queue,queue_bench,64,10000000,3921.100
1,eliza,mte,linklist,YCSB-C,1,25000,2759277.95
0,eliza,mte,linklist,scan,1,10000,1192839.66
3,eliza,aarch64,queue,queue_bench,192,5000000,7391.020
0,eliza,aarch64,CLHT,insert,192,50000000,72156.34
0,eliza,aarch64,linklist,YCSB-F,1,10000,727531.3232644903
3,eliza,mte,ART,insert,1,1000000,5021.84
0,eliza,mte,CLHT,insert,64,50000000,17695.63
4,eliza,mte,CLHT,insert,1,3000000,4180.59
1,eliza,aarch64,btree,YCSB-C,1,10000000,749.59
0,eliza,aarch64,linklist,YCSB-A,1,25000,1905449.113338
2,eliza,mte,ART,insert,1,1000000,5005.55
3,eliza,aarch64,linklist,YCSB-E,1,25000,1674530.7752679999
1,eliza,aarch64,skiplist,YCSB-E,1,1000000,5521.354821759999
4,eliza,aarch64,btree,read,1,10000000,938.13
0,eliza,mte,linklist,insert,1,1000000,4013.1
3,eliza,mte,ART,scan,1,100000,324386.6
4,eliza,mte,btree,insert,1,10000000,1282.6
4,eliza,aarch64,queue,queue_bench,16,50000000,1042.336
0,eliza,aarch64,btree,YCSB-B,1,10000000,760.7890022079999
1,eliza,mte,queue,queue_bench,64,10000000,3222.480
1,eliza,mte,skiplist,insert,1,1000000,6014.32
1,eliza,mte,btree,YCSB-B,1,10000000,831.899429354
4,eliza,aarch64,ART,YCSB-E,1,300000,33582.984936466666
